"exp_rep","assay_num","exp_date","acc_day","start_time","water_bath","thermometer","tube","pop","treatment","ctmax","length"
"",4,2026-08-10,"","","","",1,"CP","microplastics","",""
"",4,2026-08-10,"","","","",2,"CP","warming","",""
"",4,2026-08-10,"","","","",3,"CP","warming","",""
"",4,2026-08-10,"","","","",4,"CP","control","",""
"",4,2026-08-10,"","","","",5,"CP","microplastics","",""
"",4,2026-08-10,"","","","",6,NA,"thermometer","",""
"",4,2026-08-10,"","","","",7,"CP","combined","",""
"",4,2026-08-10,"","","","",8,"CP","combined","",""
"",4,2026-08-10,"","","","",9,"CP","control","",""
