"exp_rep","assay_num","exp_date","acc_day","start_time","water_bath","thermometer","tube","pop","treatment","ctmax","length"
"",3,2026-08-10,"","","","",1,"CP","warming","",""
"",3,2026-08-10,"","","","",2,"CP","control","",""
"",3,2026-08-10,"","","","",3,"CP","control","",""
"",3,2026-08-10,"","","","",4,NA,"thermometer","",""
"",3,2026-08-10,"","","","",5,"CP","warming","",""
"",3,2026-08-10,"","","","",6,"CP","microplastics","",""
"",3,2026-08-10,"","","","",7,"CP","microplastics","",""
"",3,2026-08-10,"","","","",8,"CP","combined","",""
"",3,2026-08-10,"","","","",9,"CP","combined","",""
