exp_rep,assay_num,exp_date,acc_day,start_time,water_bath,thermometer,tube,pop,treatment,ctmax,length,notes
2,4,8/10/26,7,10:30 AM,2,5,1,CP,microplastics,37.3,,
2,4,8/10/26,7,10:30 AM,2,5,2,CP,warming,NA,,1 missing
2,4,8/10/26,7,10:30 AM,2,5,3,CP,warming,34.8,,
2,4,8/10/26,7,10:30 AM,2,5,4,CP,control,38.7,,There was only 1 control copepod left so I used it for assay 7
2,4,8/10/26,7,10:30 AM,2,5,5,CP,microplastics,38.7,,
2,4,8/10/26,7,10:30 AM,2,5,6,NA,thermometer,,,
2,4,8/10/26,7,10:30 AM,2,5,7,CP,combined,NA,,Same issue for combined
2,4,8/10/26,7,10:30 AM,2,5,8,CP,combined,NA,,
2,4,8/10/26,7,10:30 AM,2,5,9,CP,control,NA,,
