"exp_rep","assay_num","exp_date","acc_day","start_time","water_bath","thermometer","tube","pop","treatment","ctmax","length"
"",1,2026-07-29,"","","","",1,"CP","microplastics","",""
"",1,2026-07-29,"","","","",2,NA,"thermometer","",""
"",1,2026-07-29,"","","","",3,"CP","combined","",""
"",1,2026-07-29,"","","","",4,"CP","warming","",""
"",1,2026-07-29,"","","","",5,"CP","control","",""
