"exp_rep","assay_num","exp_date","acc_day","start_time","water_bath","thermometer","tube","pop","treatment","ctmax","length"
"",1,2026-08-10,"","","","",1,"CP","combined","",""
"",1,2026-08-10,"","","","",2,"CP","control","",""
"",1,2026-08-10,"","","","",3,"CP","combined","",""
"",1,2026-08-10,"","","","",4,"CP","warming","",""
"",1,2026-08-10,"","","","",5,"CP","control","",""
"",1,2026-08-10,"","","","",6,"CP","warming","",""
"",1,2026-08-10,"","","","",7,NA,"thermometer","",""
"",1,2026-08-10,"","","","",8,"CP","microplastics","",""
"",1,2026-08-10,"","","","",9,"CP","microplastics","",""
